,hostname,st_teff,st_mass,st_rad,st_met,st_lum,st_age,st_vsin
3263,MOA-2009-BLG-266L,5415.146316594372,0.56,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3264,MOA-2009-BLG-319L,5415.146316594372,0.452,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3265,MOA-2009-BLG-387L,5415.146316594372,0.19,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3266,MOA-2010-BLG-073L,5415.146316594372,0.16,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3267,MOA-2010-BLG-117L,5415.146316594372,0.58,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3268,MOA-2010-BLG-328L,5415.146316594372,0.29,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3269,MOA-2010-BLG-353L,5415.146316594372,0.16999999999999998,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3270,MOA-2010-BLG-477L,5950.0,0.67,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3271,MOA-2011-BLG-028L,5415.146316594372,0.75,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3272,MOA-2011-BLG-262L,5415.146316594372,0.05655,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3273,MOA-2011-BLG-291L,5415.146316594372,0.152,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3274,MOA-2011-BLG-293L,5415.146316594372,0.516,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3275,MOA-2011-BLG-322L,5415.146316594372,0.39,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3276,MOA-2012-BLG-006L,5415.146316594372,0.49,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3277,MOA-2012-BLG-505L,5415.146316594372,0.1,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3278,MOA-2013-BLG-220L,5415.146316594372,0.825,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3279,MOA-2013-BLG-605L,5415.146316594372,0.09466666666666668,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3280,MOA-2015-BLG-337L,5415.146316594372,0.041150000000000006,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3281,MOA-2016-BLG-227L,5415.146316594372,0.4375,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3282,MOA-2016-BLG-319L,5415.146316594372,0.15,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3283,MOA-2016-BLG-526L,5415.146316594372,0.36999999999999994,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3284,MOA-2019-BLG-008L,5415.146316594372,0.7666666666666666,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3285,MOA-2020-BLG-135L,5415.146316594372,0.38,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3286,MOA-2020-BLG-208L,5415.146316594372,0.545,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3287,MOA-2022-BLG-033L,5415.146316594372,0.51,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3288,MOA-2022-BLG-091L,5415.146316594372,0.75,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3289,MOA-2022-BLG-249L,5415.146316594372,0.18,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3290,MOA-2022-BLG-563L,5415.146316594372,0.48,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3291,MOA-bin-1L,5415.146316594372,0.75,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3292,MOA-bin-29,5415.146316594372,0.055,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3293,MWC 758,5415.146316594372,1.5,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,0.0035,5.598415605095542
3294,NGC 2682 Sand 1429,6000.0,1.26,2.13,-0.013,-0.13412174868390936,4.3,5.598415605095542
3295,NGC 2682 Sand 364,4284.0,3.9200000000000004,30.695,-0.02,-0.13412174868390936,4.15,5.598415605095542
3296,NGC 2682 Sand 978,4200.0,1.37,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3297,NGC 2682 YBP 1194,5780.0,1.01,0.99,0.023,-0.13412174868390936,4.15,5.598415605095542
3298,NGC 2682 YBP 1514,5725.0,0.96,0.89,0.03,-0.13412174868390936,4.15,5.598415605095542
3299,NGC 2682 YBP 401,6165.0,1.14,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3300,NGTS-1,3916.0,0.617,0.5717165,0.0,-0.13412174868390936,4.626927679362267,1.0
3301,NGTS-10,4600.0,0.696,0.697,-0.02,-0.13412174868390936,10.4,4.0
3302,NGTS-11,5063.0,0.862,0.831,0.22,-0.13412174868390936,3.9,1.1
